"","player","level","gender","division","team_name","Turns","Ds","Assists","Points","plus_minus","team_games","turns_per_game","ds_per_game","ast_per_game","pts_per_game","pls_mns_per_game"
"525","Nicholas Cao","Division 1","Men","Division 1 Men","Oregon EGO",1,1,1,2,3,6,0.166666666666667,0.166666666666667,0.166666666666667,0.333333333333333,0.5
"526","Miles Goldman","Division 3","Men","Division 3 Men","Richmond Spidermonkeys",3,0,4,2,3,6,0.5,0,0.666666666666667,0.333333333333333,0.5
"527","Mette Peluce","Division 3","Women","Division 3 Women","Lewis & Clark Artemis",0,3,0,0,3,5,0,0.6,0,0,0.6
"528","Megan Louie","Division 1","Women","Division 1 Women","Washington Element",5,2,3,3,3,5,1,0.4,0.6,0.6,0.6
"529","May Courtney","Division 3","Women","Division 3 Women","Haverford/Bryn Mawr Sneetches",4,1,0,6,3,6,0.666666666666667,0.166666666666667,0,1,0.5
"530","Max Massey","Division 1","Men","Division 1 Men","Oregon EGO",6,2,4,3,3,6,1,0.333333333333333,0.666666666666667,0.5,0.5
"531","Matt Rix","Division 1","Men","Division 1 Men","Oregon State Beavers",4,0,1,6,3,5,0.8,0,0.2,1.2,0.6
"532","Marco Willen","Division 3","Men","Division 3 Men","Bates Orange Whip",0,1,0,2,3,6,0,0.166666666666667,0,0.333333333333333,0.5
"533","Marco Muralles","Division 1","Men","Division 1 Men","Oregon EGO",0,1,2,0,3,6,0,0.166666666666667,0.333333333333333,0,0.5
"534","Luke Updike","Division 3","Men","Division 3 Men","Franciscan Fatal",4,3,1,3,3,6,0.666666666666667,0.5,0.166666666666667,0.5,0.5
"535","Louis Douville Beaudoin","Division 3","Men","Division 3 Men","Middlebury Pranksters",1,0,2,2,3,5,0.2,0,0.4,0.4,0.6
"536","Logan Hammersmith","Division 3","Men","Division 3 Men","Oklahoma Christian Eagles",0,0,1,2,3,5,0,0,0.2,0.4,0.6
"537","Lena Nyblade","Division 1","Women","Division 1 Women","Colorado Quandary",1,2,0,2,3,7,0.142857142857143,0.285714285714286,0,0.285714285714286,0.428571428571429
"538","Lena Millard-Kish","Division 1","Women","Division 1 Women","Washington Element",0,1,1,1,3,5,0,0.2,0.2,0.2,0.6
"539","Laura Boyd","Division 3","Women","Division 3 Women","Carleton Eclipse",2,1,2,2,3,6,0.333333333333333,0.166666666666667,0.333333333333333,0.333333333333333,0.5
"540","Korie Rudin","Division 1","Women","Division 1 Women","Georgia Athena",0,0,0,3,3,5,0,0,0,0.6,0.6
"541","Kjellen MacBain","Division 3","Men","Division 3 Men","Williams WUFO",10,4,8,1,3,6,1.66666666666667,0.666666666666667,1.33333333333333,0.166666666666667,0.5
"542","Kali Bate","Division 3","Women","Division 3 Women","Wellesley Whiptails",14,3,1,13,3,6,2.33333333333333,0.5,0.166666666666667,2.16666666666667,0.5
"543","Kaisa Olson","Division 3","Women","Division 3 Women","St Olaf Vortex",9,5,1,6,3,5,1.8,1,0.2,1.2,0.6
"544","Kaia O’Neill","Division 3","Women","Division 3 Women","Lewis & Clark Artemis",2,2,0,3,3,5,0.4,0.4,0,0.6,0.6
"545","Kai LaMothe","Division 3","Men","Division 3 Men","Williams WUFO",1,1,1,2,3,6,0.166666666666667,0.166666666666667,0.166666666666667,0.333333333333333,0.5
"546","Josh Stanton","Division 3","Men","Division 3 Men","St Olaf Berzerkers",2,2,0,3,3,6,0.333333333333333,0.333333333333333,0,0.5,0.5
"547","Josefina O'Toole","Division 1","Women","Division 1 Women","California - San Diego D-Co",4,4,2,1,3,5,0.8,0.8,0.4,0.2,0.6
"548","Jorre Dahl","Division 3","Men","Division 3 Men","Middlebury Pranksters",4,0,3,4,3,5,0.8,0,0.6,0.8,0.6
"549","Jenalyn Ng","Division 1","Women","Division 1 Women","British Columbia Thunderbirds",3,4,0,2,3,6,0.5,0.666666666666667,0,0.333333333333333,0.5
"550","Jedidiah Pratt","Division 1","Men","Division 1 Men","Minnesota Grey Duck",0,1,1,1,3,5,0,0.2,0.2,0.2,0.6
"551","James Euston","Division 3","Men","Division 3 Men","Franciscan Fatal",12,5,9,1,3,6,2,0.833333333333333,1.5,0.166666666666667,0.5
"552","Jake Schwartz","Division 1","Men","Division 1 Men","North Carolina Darkside",0,2,0,1,3,6,0,0.333333333333333,0,0.166666666666667,0.5
"553","Jacob Markus","Division 1","Men","Division 1 Men","Minnesota Grey Duck",3,1,3,2,3,5,0.6,0.2,0.6,0.4,0.6
"554","Jack McCleary","Division 1","Men","Division 1 Men","North Carolina Darkside",1,4,0,0,3,6,0.166666666666667,0.666666666666667,0,0,0.5
"555","Jack Davis","Division 1","Men","Division 1 Men","Michigan Magnum",0,1,0,2,3,5,0,0.2,0,0.4,0.6
"556","Ivan Khoo","Division 3","Men","Division 3 Men","Berry Bucks",0,0,2,1,3,6,0,0,0.333333333333333,0.166666666666667,0.5
"557","Isaac Trommer","Division 1","Men","Division 1 Men","Washington University Contra",2,3,0,2,3,5,0.4,0.6,0,0.4,0.6
"558","Henry Currie","Division 3","Men","Division 3 Men","Whitman Sweets",1,2,1,1,3,6,0.166666666666667,0.333333333333333,0.166666666666667,0.166666666666667,0.5
"559","Hayden Fahnhorst","Division 3","Men","Division 3 Men","St Olaf Berzerkers",0,1,1,1,3,6,0,0.166666666666667,0.166666666666667,0.166666666666667,0.5
"560","Hannah Hackenmueller","Division 1","Women","Division 1 Women","Carleton Syzygy",0,2,0,1,3,6,0,0.333333333333333,0,0.166666666666667,0.5
"561","Graham Gordon","Division 3","Men","Division 3 Men","Carleton CHOP",2,2,1,2,3,6,0.333333333333333,0.333333333333333,0.166666666666667,0.333333333333333,0.5
"562","Grace Mattox","Division 1","Women","Division 1 Women","Colorado Quandary",0,0,0,3,3,7,0,0,0,0.428571428571429,0.428571428571429
"563","Genesis Meadows","Division 3","Women","Division 3 Women","Richmond Red Hots",5,3,2,3,3,6,0.833333333333333,0.5,0.333333333333333,0.5,0.5
"564","Geir Hartl","Division 3","Men","Division 3 Men","Middlebury Pranksters",9,2,7,3,3,5,1.8,0.4,1.4,0.6,0.6
"565","Fin Fuhrmann","Division 1","Men","Division 1 Men","Carleton CUT",6,0,6,3,3,5,1.2,0,1.2,0.6,0.6
"566","Evelyn Leduc","Division 1","Women","Division 1 Women","Carleton Syzygy",2,2,0,3,3,6,0.333333333333333,0.333333333333333,0,0.5,0.5
"567","Evan Medrow","Division 1","Men","Division 1 Men","Penn State Spank",4,2,2,3,3,5,0.8,0.4,0.4,0.6,0.6
"568","Evan Kandell","Division 1","Men","Division 1 Men","Cal Ursa Major",2,1,0,4,3,5,0.4,0.2,0,0.8,0.6
"569","Emily Dalley","Division 1","Women","Division 1 Women","Utah Spiral Jetty",0,0,0,3,3,5,0,0,0,0.6,0.6
"570","Emi Moreno","Division 1","Women","Division 1 Women","Western Washington Chaos",0,2,1,0,3,5,0,0.4,0.2,0,0.6
"571","Elliot Green","Division 3","Men","Division 3 Men","Berry Bucks",2,0,3,2,3,6,0.333333333333333,0,0.5,0.333333333333333,0.5
"572","Danny Shope","Division 3","Men","Division 3 Men","Carleton CHOP",8,3,6,2,3,6,1.33333333333333,0.5,1,0.333333333333333,0.5
"573","Constanza Capriles","Division 1","Women","Division 1 Women","Michigan Flywheel",7,7,1,2,3,5,1.4,1.4,0.2,0.4,0.6
"574","Collin Pearson","Division 3","Men","Division 3 Men","Carleton CHOP",0,0,0,3,3,6,0,0,0,0.5,0.5
"575","Colby Bong","Division 1","Men","Division 1 Men","Alabama-Huntsville Nightmares",0,3,0,0,3,5,0,0.6,0,0,0.6
"576","Charles Forster","Division 3","Men","Division 3 Men","Oberlin Flying Horsecows",0,1,1,1,3,6,0,0.166666666666667,0.166666666666667,0.166666666666667,0.5
"577","Chanel van Ginkel","Division 1","Women","Division 1 Women","Utah Spiral Jetty",2,4,0,1,3,5,0.4,0.8,0,0.2,0.6
"578","Caroline Lukasick","Division 3","Women","Division 3 Women","Union Jillz",7,4,0,6,3,6,1.16666666666667,0.666666666666667,0,1,0.5
"579","Camryn Hines","Division 3","Women","Division 3 Women","Portland UPRoar",0,1,0,2,3,6,0,0.166666666666667,0,0.333333333333333,0.5
"580","Cameron Curney","Division 1","Men","Division 1 Men","Brown Brownian Motion",0,2,0,1,3,8,0,0.25,0,0.125,0.375
"581","Brooke Chomko","Division 1","Women","Division 1 Women","Tufts EWO",0,1,1,1,3,5,0,0.2,0.2,0.2,0.6
"582","Bria Stocker","Division 1","Women","Division 1 Women","Michigan Flywheel",3,4,1,1,3,5,0.6,0.8,0.2,0.2,0.6
"583","Brenden Gasper","Division 1","Men","Division 1 Men","Pittsburgh En Sabah Nur",0,1,2,0,3,5,0,0.2,0.4,0,0.6
"584","Breanna Campbell","Division 1","Women","Division 1 Women","Michigan Flywheel",1,0,0,4,3,5,0.2,0,0,0.8,0.6
"585","Bradley Fleming","Division 1","Men","Division 1 Men","Alabama-Huntsville Nightmares",3,2,3,1,3,5,0.6,0.4,0.6,0.2,0.6
"586","Bodhi Harmony","Division 1","Men","Division 1 Men","North Carolina Darkside",1,1,1,2,3,6,0.166666666666667,0.166666666666667,0.166666666666667,0.333333333333333,0.5
"587","Bobby Eleveld","Division 1","Men","Division 1 Men","Carleton CUT",2,3,1,1,3,5,0.4,0.6,0.2,0.2,0.6
"588","Austin King","Division 1","Men","Division 1 Men","Minnesota Grey Duck",3,0,1,5,3,5,0.6,0,0.2,1,0.6
"589","Audrey Deligan","Division 3","Women","Division 3 Women","Grinnell Grinneleanor Roosevelts",3,3,2,1,3,6,0.5,0.5,0.333333333333333,0.166666666666667,0.5
"590","Anna Eifert","Division 3","Women","Division 3 Women","Carleton Eclipse",4,3,2,2,3,6,0.666666666666667,0.5,0.333333333333333,0.333333333333333,0.5
"591","Andrew Yeh","Division 3","Men","Division 3 Men","Carleton CHOP",5,3,5,0,3,6,0.833333333333333,0.5,0.833333333333333,0,0.5
"592","Andrew Purcell","Division 3","Men","Division 3 Men","Berry Bucks",0,2,1,0,3,6,0,0.333333333333333,0.166666666666667,0,0.5
"593","Andie Madsen","Division 1","Women","Division 1 Women","Utah Spiral Jetty",3,4,0,2,3,5,0.6,0.8,0,0.4,0.6
"594","Ami Endo","Division 3","Men","Division 3 Men","Carleton CHOP",4,2,0,5,3,6,0.666666666666667,0.333333333333333,0,0.833333333333333,0.5
"595","Allen MacMillan","Division 1","Men","Division 1 Men","NC State Alpha",4,1,5,1,3,6,0.666666666666667,0.166666666666667,0.833333333333333,0.166666666666667,0.5
"596","Aidan Stark-Chessa","Division 3","Men","Division 3 Men","Bates Orange Whip",5,3,0,5,3,6,0.833333333333333,0.5,0,0.833333333333333,0.5
"597","Aidan Byrne","Division 3","Men","Division 3 Men","Missouri S&T Miner Threat",5,3,0,5,3,6,0.833333333333333,0.5,0,0.833333333333333,0.5
"598","Adriel Portillo","Division 3","Men","Division 3 Men","Berry Bucks",1,3,1,0,3,6,0.166666666666667,0.5,0.166666666666667,0,0.5
"599","Zoe Luke","Division 1","Women","Division 1 Women","Oregon Fugue",10,4,3,5,2,6,1.66666666666667,0.666666666666667,0.5,0.833333333333333,0.333333333333333
"600","Wyatt Crow","Division 1","Men","Division 1 Men","Minnesota Grey Duck",0,1,0,1,2,5,0,0.2,0,0.2,0.4
"601","Wyatt Colburn","Division 1","Men","Division 1 Men","Cal Poly-SLO Slocore",2,3,1,0,2,7,0.285714285714286,0.428571428571429,0.142857142857143,0,0.285714285714286
"602","William Cox","Division 1","Men","Division 1 Men","Alabama-Huntsville Nightmares",1,0,0,3,2,5,0.2,0,0,0.6,0.4
"603","William Beyreis","Division 3","Men","Division 3 Men","Williams WUFO",0,0,0,2,2,6,0,0,0,0.333333333333333,0.333333333333333
"604","William Anderson","Division 3","Men","Division 3 Men","Carleton CHOP",1,2,0,1,2,6,0.166666666666667,0.333333333333333,0,0.166666666666667,0.333333333333333
"605","True Hanson","Division 1","Men","Division 1 Men","Vermont Chill",1,0,2,1,2,5,0.2,0,0.4,0.2,0.4
"606","Tova Benson","Division 3","Women","Division 3 Women","Lewis & Clark Artemis",2,1,1,2,2,5,0.4,0.2,0.2,0.4,0.4
"607","Tobias Paperno","Division 1","Men","Division 1 Men","Massachusetts Zoodisc",1,0,2,1,2,5,0.2,0,0.4,0.2,0.4
"608","Theo Gobeil","Division 1","Men","Division 1 Men","Ottawa Gee-Gees",4,2,2,2,2,5,0.8,0.4,0.4,0.4,0.4
"609","Thais Thomas","Division 1","Women","Division 1 Women","Oregon Fugue",3,0,1,4,2,6,0.5,0,0.166666666666667,0.666666666666667,0.333333333333333
"610","Terron Ross","Division 1","Men","Division 1 Men","Ottawa Gee-Gees",6,1,3,4,2,5,1.2,0.2,0.6,0.8,0.4
"611","Tejas Sivarajakumar","Division 1","Men","Division 1 Men","NC State Alpha",3,1,2,2,2,6,0.5,0.166666666666667,0.333333333333333,0.333333333333333,0.333333333333333
"612","Sylvie Shaya","Division 3","Women","Division 3 Women","Wellesley Whiptails",2,0,0,4,2,6,0.333333333333333,0,0,0.666666666666667,0.333333333333333
"613","Susannah Cornell","Division 3","Women","Division 3 Women","Wesleyan Vicious Circles",3,3,0,2,2,6,0.5,0.5,0,0.333333333333333,0.333333333333333
"614","Soren Severens","Division 3","Men","Division 3 Men","Whitman Sweets",3,1,3,1,2,6,0.5,0.166666666666667,0.5,0.166666666666667,0.333333333333333
"615","Sophie Carpenter","Division 3","Women","Division 3 Women","Macalester Purse Snatchers",10,2,3,7,2,6,1.66666666666667,0.333333333333333,0.5,1.16666666666667,0.333333333333333
"616","Sophie Addison","Division 3","Women","Division 3 Women","Colorado College Zenith",3,2,1,2,2,6,0.5,0.333333333333333,0.166666666666667,0.333333333333333,0.333333333333333
"617","Simon Korotzer-Mariani","Division 3","Men","Division 3 Men","Oberlin Flying Horsecows",4,0,1,5,2,6,0.666666666666667,0,0.166666666666667,0.833333333333333,0.333333333333333
"618","Shane Keeton","Division 3","Men","Division 3 Men","Missouri S&T Miner Threat",0,1,0,1,2,6,0,0.166666666666667,0,0.166666666666667,0.333333333333333
"619","Serena Goldstone","Division 3","Women","Division 3 Women","Occidental WAC",4,2,3,1,2,6,0.666666666666667,0.333333333333333,0.5,0.166666666666667,0.333333333333333
"620","Saxon Egge","Division 3","Men","Division 3 Men","Oberlin Flying Horsecows",0,0,0,2,2,6,0,0,0,0.333333333333333,0.333333333333333
"621","Sarah Trouwborst","Division 3","Women","Division 3 Women","Union Jillz",5,2,2,3,2,6,0.833333333333333,0.333333333333333,0.333333333333333,0.5,0.333333333333333
"622","Samuel Teppo","Division 1","Men","Division 1 Men","Michigan Magnum",0,1,1,0,2,5,0,0.2,0.2,0,0.4
"623","Samuel Redinbo","Division 1","Men","Division 1 Men","North Carolina Darkside",1,2,0,1,2,6,0.166666666666667,0.333333333333333,0,0.166666666666667,0.333333333333333
"624","Samuel Laur","Division 1","Men","Division 1 Men","Cal Ursa Major",4,2,2,2,2,5,0.8,0.4,0.4,0.4,0.4
"625","Sam Jordan","Division 1","Men","Division 1 Men","Oregon State Beavers",0,1,0,1,2,5,0,0.2,0,0.2,0.4
"626","Sam Hussey","Division 3","Men","Division 3 Men","Richmond Spidermonkeys",2,2,1,1,2,6,0.333333333333333,0.333333333333333,0.166666666666667,0.166666666666667,0.333333333333333
"627","Ryan Reinhart","Division 1","Men","Division 1 Men","Texas TUFF",2,0,2,2,2,5,0.4,0,0.4,0.4,0.4
"628","Ruby Kauffman-Rosengarten","Division 3","Women","Division 3 Women","Wesleyan Vicious Circles",4,1,2,3,2,6,0.666666666666667,0.166666666666667,0.333333333333333,0.5,0.333333333333333
"629","Richard Dragicevich","Division 3","Men","Division 3 Men","Davenport Panthers",0,0,1,1,2,6,0,0,0.166666666666667,0.166666666666667,0.333333333333333
"630","Riah Burrows","Division 3","Men","Division 3 Men","Oberlin Flying Horsecows",0,0,0,2,2,6,0,0,0,0.333333333333333,0.333333333333333
"631","Rebecca Zhang","Division 1","Women","Division 1 Women","Michigan Flywheel",4,0,3,3,2,5,0.8,0,0.6,0.6,0.4
"632","Rachel Katzovitz","Division 3","Women","Division 3 Women","St Olaf Vortex",14,5,0,11,2,5,2.8,1,0,2.2,0.4
"633","Prunella Crombie Presberg","Division 1","Women","Division 1 Women","California - Santa Cruz Sol",10,8,1,3,2,5,2,1.6,0.2,0.6,0.4
"634","Presley Smith","Division 3","Men","Division 3 Men","Williams WUFO",0,1,0,1,2,6,0,0.166666666666667,0,0.166666666666667,0.333333333333333
"635","Philippa Steinberg","Division 1","Women","Division 1 Women","Washington Element",0,1,0,1,2,5,0,0.2,0,0.2,0.4
"636","Peter Free","Division 3","Men","Division 3 Men","Franciscan Fatal",0,1,0,1,2,6,0,0.166666666666667,0,0.166666666666667,0.333333333333333
"637","Parissa Teli","Division 1","Women","Division 1 Women","California - San Diego D-Co",0,0,0,2,2,5,0,0,0,0.4,0.4
"638","Pah Na","Division 3","Men","Division 3 Men","Carleton CHOP",1,2,0,1,2,6,0.166666666666667,0.333333333333333,0,0.166666666666667,0.333333333333333
"639","Owen Haddad","Division 3","Men","Division 3 Men","Bates Orange Whip",2,1,0,3,2,6,0.333333333333333,0.166666666666667,0,0.5,0.333333333333333
"640","Omar Semrin","Division 1","Men","Division 1 Men","Colorado Mambird",2,2,0,2,2,7,0.285714285714286,0.285714285714286,0,0.285714285714286,0.285714285714286
"641","Oliver Sumners","Division 3","Men","Division 3 Men","Lewis & Clark Bacchus",3,1,1,3,2,6,0.5,0.166666666666667,0.166666666666667,0.5,0.333333333333333
"642","Noel Sierra","Division 1","Men","Division 1 Men","Massachusetts Zoodisc",3,0,2,3,2,5,0.6,0,0.4,0.6,0.4
"643","Nima Lhamo","Division 1","Men","Division 1 Men","Massachusetts Zoodisc",1,2,1,0,2,5,0.2,0.4,0.2,0,0.4
"644","Nico Christakos","Division 1","Men","Division 1 Men","Vermont Chill",2,3,1,0,2,5,0.4,0.6,0.2,0,0.4
"645","Natalia Maahs","Division 3","Women","Division 3 Women","Colorado College Zenith",4,1,2,3,2,6,0.666666666666667,0.166666666666667,0.333333333333333,0.5,0.333333333333333
"646","Mikah Keetch","Division 3","Women","Division 3 Women","Lewis & Clark Artemis",16,4,10,4,2,5,3.2,0.8,2,0.8,0.4
"647","Mayana Ford","Division 3","Women","Division 3 Women","Macalester Purse Snatchers",0,0,1,1,2,6,0,0,0.166666666666667,0.166666666666667,0.333333333333333
"648","Maya Beck-Kjer","Division 1","Women","Division 1 Women","Colorado State Helle's Belles",1,1,0,2,2,5,0.2,0.2,0,0.4,0.4
"649","May Kinnamon","Division 3","Women","Division 3 Women","Macalester Purse Snatchers",3,4,0,1,2,6,0.5,0.666666666666667,0,0.166666666666667,0.333333333333333
"650","Max Zeltsar","Division 3","Men","Division 3 Men","Middlebury Pranksters",0,0,2,0,2,5,0,0,0.4,0,0.4
"651","Max Goetz","Division 1","Men","Division 1 Men","North Carolina Darkside",1,0,1,2,2,6,0.166666666666667,0,0.166666666666667,0.333333333333333,0.333333333333333
"652","Matti Lee","Division 1","Men","Division 1 Men","NC State Alpha",17,1,9,9,2,6,2.83333333333333,0.166666666666667,1.5,1.5,0.333333333333333
"653","Mathis Turgeon-Roy","Division 1","Men","Division 1 Men","Ottawa Gee-Gees",2,2,1,1,2,5,0.4,0.4,0.2,0.2,0.4
"654","Maisie Prendergast","Division 1","Women","Division 1 Women","Utah Spiral Jetty",0,0,0,2,2,5,0,0,0,0.4,0.4
"655","Madrona Maling","Division 1","Women","Division 1 Women","Washington Element",1,3,0,0,2,5,0.2,0.6,0,0,0.4
"656","Madeline Trilling","Division 1","Women","Division 1 Women","California - Santa Cruz Sol",0,2,0,0,2,5,0,0.4,0,0,0.4
"657","Madeline Scott","Division 1","Women","Division 1 Women","Pennsylvania Venus",1,0,0,3,2,5,0.2,0,0,0.6,0.4
"658","Mackenzie Bunnell","Division 3","Women","Division 3 Women","Wesleyan Vicious Circles",11,5,3,5,2,6,1.83333333333333,0.833333333333333,0.5,0.833333333333333,0.333333333333333
"659","Luke Forrester","Division 3","Men","Division 3 Men","Franciscan Fatal",0,0,0,2,2,6,0,0,0,0.333333333333333,0.333333333333333
"660","Luke Duan","Division 1","Men","Division 1 Men","North Carolina Darkside",1,1,1,1,2,6,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.333333333333333
"661","Luke Cranor","Division 1","Men","Division 1 Men","Georgia Jojah",0,0,0,2,2,5,0,0,0,0.4,0.4
"662","Leyla Williams","Division 1","Women","Division 1 Women","Colorado Quandary",2,0,0,4,2,7,0.285714285714286,0,0,0.571428571428571,0.285714285714286
"663","Leo Xiao","Division 1","Men","Division 1 Men","Carleton CUT",10,1,8,3,2,5,2,0.2,1.6,0.6,0.4
"664","Leo Sarandos","Division 1","Men","Division 1 Men","Vermont Chill",1,1,1,1,2,5,0.2,0.2,0.2,0.2,0.4
"665","Leo Jordan","Division 1","Men","Division 1 Men","Carleton CUT",2,0,3,1,2,5,0.4,0,0.6,0.2,0.4
"666","Leo Dungan-Seaver","Division 3","Men","Division 3 Men","Whitman Sweets",0,1,0,1,2,6,0,0.166666666666667,0,0.166666666666667,0.333333333333333
"667","Leah Hall","Division 1","Women","Division 1 Women","Oregon Fugue",2,0,3,1,2,6,0.333333333333333,0,0.5,0.166666666666667,0.333333333333333
"668","Kyle Riley","Division 1","Men","Division 1 Men","Cal Ursa Major",0,0,2,0,2,5,0,0,0.4,0,0.4
"669","Kiva Zimmerman","Division 3","Men","Division 3 Men","Williams WUFO",5,2,2,3,2,6,0.833333333333333,0.333333333333333,0.333333333333333,0.5,0.333333333333333
"670","KayAnna Williams","Division 3","Women","Division 3 Women","Davenport Panthers",0,2,0,0,2,5,0,0.4,0,0,0.4
"671","Katie Anderson","Division 3","Women","Division 3 Women","Portland UPRoar",0,1,0,1,2,6,0,0.166666666666667,0,0.166666666666667,0.333333333333333
"672","Kai Hoadley","Division 3","Men","Division 3 Men","Middlebury Pranksters",1,1,0,2,2,5,0.2,0.2,0,0.4,0.4
"673","Juraj Hurny","Division 3","Men","Division 3 Men","Davenport Panthers",4,3,1,2,2,6,0.666666666666667,0.5,0.166666666666667,0.333333333333333,0.333333333333333
"674","Joshua Kolby","Division 1","Men","Division 1 Men","Alabama-Huntsville Nightmares",2,1,1,2,2,5,0.4,0.2,0.2,0.4,0.4
